"sub","x","y"
"1",1,-0.235587255626339
"2",1,0.0827026837102278
"3",1,0.127515342612668
"4",1,-0.0998814611056654
"5",1,-0.511093325838643
"6",1,-0.139012404228586
"7",1,0.190662532391295
"8",1,-0.184757998491231
"9",1,-0.6
"10",1,-0.0973123680201905
"11",1,0.192450089729875
"12",1,0.188592983287001
"13",1,-0.235993358765552
"14",1,-0.176063504444585
"15",1,-0.281719640442012
"16",1,0.0821015479763357
"17",1,0.213126931713721
"18",1,-0.463085617482955
"19",1,0.0933618109698478
"20",1,0.105409255338946
"21",1,0.487691488345735
"22",1,-0.25418581461175
"1",2,-0.123928712595106
"2",2,-0.044203158534777
"3",2,-0.297535799429558
"4",2,0.12235478985444
"5",2,0.107521074311876
"6",2,-0.00958706236059222
"7",2,0.406559811716732
"8",2,0.00791819993533857
"9",2,-0.6
"10",2,0.0747969573802246
"11",2,-0.0320750149549791
"12",2,-0.25717224993682
"13",2,-0.235993358765552
"14",2,0.136836392632568
"15",2,-0.118515305592039
"16",2,-0.0355773374564121
"17",2,-0.186719757060595
"18",2,-0.105372775235643
"19",2,0.145680506972275
"20",2,0.219602615289471
"21",2,-0.01234661995812
"22",2,0.0773891752820131
"1",3,0.258061039880168
"2",3,-0.0815284062538961
"3",3,-0.297535799429558
"4",3,0.0700639072755919
"5",3,-0.0625978857295168
"6",3,0.1579045565274
"7",3,0.334594051941586
"8",3,-0.0498846595926323
"9",3,0.285714285714286
"10",3,-0.0973123680201905
"11",3,-0.303868562731382
"12",3,-0.0812122894537326
"13",3,0.154303349962092
"14",3,-0.446679631646447
"15",3,-0.163025578732941
"16",3,0.134403274835335
"17",3,0.0911398063249464
"18",3,-0.0523782800878925
"19",3,-0.142072321041073
"20",3,0.141470316375954
"21",3,-0.0711746326997499
"22",3,0.115944406665009
"1",4,-0.235587255626339
"2",4,-0.044203158534777
"3",4,0.34004091363378
"4",4,0.0112366643743874
"5",4,0.23124395434198
"6",4,0.119838279507402
"7",4,-0.268119186175259
"8",4,0.152425348755266
"9",4,0.466666666666667
"10",4,-0.0503734610928046
"11",4,-0.144337567297406
"12",4,-0.0342896333249093
"13",4,0.154303349962092
"14",4,0.280601210208557
"15",4,0.133709575539737
"16",4,0.0821015479763357
"17",4,0.0437003686737563
"18",4,0.25234006701167
"19",4,-0.299028409048354
"20",4,-0.00878410461157888
"21",4,-0.512384728261975
"22",4,0.0773891752820131
"1",5,0.322705459529829
"2",5,0.0827026837102278
"3",5,0.127515342612668
"4",5,-0.0998814611056654
"5",5,0.23124395434198
"6",5,-0.139012404228586
"7",5,-0.672926584910453
"8",5,0.0849886793059664
"9",5,0.466666666666667
"10",5,0.168674771234996
"11",5,0.304712642072303
"12",5,0.188592983287001
"13",5,0.154303349962092
"14",5,0.229860686358208
"15",5,0.430444729812414
"16",5,-0.270935108321908
"17",5,-0.152834444452602
"18",5,0.371577681094107
"19",5,0.211078876975308
"20",5,-0.465557544413678
"21",5,0.112662907117844
"22",5,-0.00743233376057747
