"subject","0","1","2+"
"1",-0.203602485946618,0.125528379032363,0.869513209965473
"2",0.0329473884390114,0.0289230081126502,0.037309451824086
"3",-0.0447055787506586,0.0307177638267171,0.0780257483600907
"4",-0.362146462789054,-0.312811384470147,-0.308736944282308
"5",0.0729736114539996,-0.270358692194651,0.0692168952950771
"6",-0.352069212777179,-0.0449950754140673,0.31520422415211
"7",-0.000281975085369765,0.350026097160593,0.666321151273408
"8",-0.128724940688262,-0.0306637848859041,-0.142365579395982
"9",-0.600296448095508,0.36172018487485,0.558063562683323
"10",0.0462780074421108,0.0222442959776483,0.0546960294705767
"11",-0.272248012099215,0.127225791556452,0.368077162470177
"12",-0.356897358151502,0.0600117705638485,0.905374265886541
"13",0.182375954332519,-0.126811649318945,-0.229996706236545
"14",-0.16577142210569,0.571306844189506,1.00629129403564
"15",-0.0181894432122294,-0.496636427940091,0.447394500032882
"16",-0.00937497594185484,-0.0612795912997581,-0.0454435985117261
"17",-0.0802533439357884,-0.0832169495913706,0.443919492844733
"18",-0.0471574111416416,-0.0527645766777166,-0.0658064452201307
"19",-0.183534293346545,-0.302383202961993,0.830234975701386
"20",0.252310241591692,-0.104034014385318,-0.331121529485692
"21",-0.236105104449546,-0.0613187774170221,0.668571099832077
"22",-0.404670025163738,-0.467537567987603,0.153985175788266
