** CONVERTED FROM C:\Users\NTT\Desktop\exe\80_7mm.edf using edfapi 3.1 Win32 Feb 16 2010 on Fri Oct 15 17:34:18 2021
** DATE: Thu Dec 19 05:47:00 2013
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v5.15 Jan 24 2018
** CAMERA: Eyelink GL Version 1.2 Sensor=AA7
** SERIAL NUMBER: CLG-BAB23
** CAMERA_CONFIG: BAB23200.SCD
** RECORDED FROM OUTPUT MENU
** MENU: HAS_SAMPLES
** MENU: HAS_EVENTS
**

INPUT	915057	127
MSG	916230 RECCFG P 1000 2 1 R
MSG	916230 ELCLCFG BTABLER
MSG	916230 GAZE_COORDS 0.00 0.00 1599.00 1199.00
MSG	916230 THRESHOLDS R 80 210
MSG	916230 ELCL_WINDOW_SIZES 176 188 0 0
MSG	916230 CAMERA_LENS_FOCAL_LENGTH 38.00 
MSG	916230 PUPIL_DATA_TYPE RAW_AUTOSLIP
MSG	916230 ELCL_PROC CENTROID (3)
MSG	916230 ELCL_PCR_PARAM 5 3.0
START	916231 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	RIGHT	RATE	1000.00	TRACKING	P	FILTER	2
SAMPLES	GAZE	RIGHT	RATE	1000.00	TRACKING	P	FILTER	2
MSG	916231 !MODE RECORD P 1000 2 1 R
916231	 -120.6	 1580.2	 4713.0	.
INPUT	916231	127
916232	 -120.6	 1580.1	 4713.0	.
916233	 -120.6	 1580.1	 4712.0	.
916234	 -120.7	 1580.0	 4712.0	.
916235	 -120.8	 1579.9	 4712.0	.
916236	 -120.9	 1579.7	 4712.0	.
916237	 -120.9	 1579.6	 4712.0	.
SFIX R   916238
916238	 -120.9	 1579.6	 4712.0	.
916239	 -120.9	 1579.5	 4713.0	.
916240	 -121.0	 1579.4	 4714.0	.
916241	 -121.0	 1579.4	 4715.0	.
916242	 -120.9	 1579.4	 4715.0	.
916243	 -120.9	 1579.4	 4714.0	.
916244	 -120.9	 1579.3	 4714.0	.
916245	 -120.9	 1579.3	 4714.0	.
916246	 -120.9	 1579.3	 4714.0	.
916247	 -120.9	 1579.3	 4714.0	.
916248	 -120.8	 1579.2	 4714.0	.
916249	 -120.8	 1579.2	 4713.0	.
916250	 -120.8	 1579.2	 4711.0	.
916251	 -120.8	 1579.2	 4710.0	.
916252	 -120.8	 1579.2	 4709.0	.
916253	 -120.8	 1579.2	 4709.0	.
916254	 -120.7	 1579.2	 4709.0	.
916255	 -120.6	 1579.2	 4710.0	.
916256	 -120.5	 1579.2	 4711.0	.
916257	 -120.5	 1579.1	 4712.0	.
916258	 -120.5	 1579.1	 4712.0	.
916259	 -120.5	 1579.1	 4712.0	.
916260	 -120.4	 1579.1	 4712.0	.
916261	 -120.4	 1579.0	 4712.0	.
916262	 -120.4	 1579.0	 4712.0	.
916263	 -120.4	 1578.9	 4712.0	.
916264	 -120.4	 1578.9	 4711.0	.
