** CONVERTED FROM C:\Users\NTT\Desktop\exe\80_5mm.edf using edfapi 3.1 Win32 Feb 16 2010 on Fri Oct 15 17:34:19 2021
** DATE: Thu Dec 19 05:47:51 2013
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v5.15 Jan 24 2018
** CAMERA: Eyelink GL Version 1.2 Sensor=AA7
** SERIAL NUMBER: CLG-BAB23
** CAMERA_CONFIG: BAB23200.SCD
** RECORDED FROM OUTPUT MENU
** MENU: HAS_SAMPLES
** MENU: HAS_EVENTS
**

INPUT	952986	127
MSG	953800 RECCFG P 1000 2 1 R
MSG	953800 ELCLCFG BTABLER
MSG	953800 GAZE_COORDS 0.00 0.00 1599.00 1199.00
MSG	953800 THRESHOLDS R 80 210
MSG	953800 ELCL_WINDOW_SIZES 176 188 0 0
MSG	953800 CAMERA_LENS_FOCAL_LENGTH 38.00 
MSG	953800 PUPIL_DATA_TYPE RAW_AUTOSLIP
MSG	953800 ELCL_PROC CENTROID (3)
MSG	953800 ELCL_PCR_PARAM 5 3.0
START	953801 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	RIGHT	RATE	1000.00	TRACKING	P	FILTER	2
SAMPLES	GAZE	RIGHT	RATE	1000.00	TRACKING	P	FILTER	2
MSG	953801 !MODE RECORD P 1000 2 1 R
953801	   60.0	 1333.3	 2748.0	.
INPUT	953801	127
953802	   60.1	 1333.2	 2749.0	.
953803	   60.2	 1333.0	 2750.0	.
953804	   60.3	 1332.9	 2750.0	.
953805	   60.5	 1332.7	 2750.0	.
953806	   60.7	 1332.7	 2750.0	.
953807	   60.9	 1332.6	 2749.0	.
SFIX R   953808
953808	   61.1	 1332.6	 2749.0	.
953809	   61.2	 1332.3	 2750.0	.
953810	   61.3	 1332.1	 2751.0	.
953811	   61.4	 1331.8	 2752.0	.
953812	   61.5	 1331.7	 2752.0	.
953813	   61.6	 1331.6	 2752.0	.
953814	   61.7	 1331.4	 2752.0	.
953815	   61.8	 1331.3	 2752.0	.
953816	   61.8	 1331.2	 2752.0	.
953817	   61.9	 1331.1	 2753.0	.
953818	   62.0	 1331.0	 2754.0	.
953819	   62.0	 1330.8	 2754.0	.
953820	   62.1	 1330.7	 2753.0	.
953821	   62.1	 1330.5	 2753.0	.
953822	   62.1	 1330.4	 2753.0	.
953823	   62.1	 1330.3	 2753.0	.
953824	   62.2	 1330.2	 2754.0	.
953825	   62.2	 1330.2	 2756.0	.
953826	   62.2	 1330.1	 2757.0	.
953827	   62.3	 1330.1	 2757.0	.
953828	   62.2	 1330.0	 2758.0	.
953829	   62.1	 1329.9	 2758.0	.
953830	   62.1	 1329.8	 2756.0	.
953831	   62.1	 1329.8	 2755.0	.
953832	   62.2	 1329.8	 2753.0	.
953833	   62.1	 1329.7	 2752.0	.
953834	   62.1	 1329.7	 2751.0	.
953835	   62.0	 1329.7	 2751.0	.
953836	   62.0	 1329.7	 2752.0	.
