** CONVERTED FROM C:\Users\NTT\Desktop\exe\120_7mm.edf using edfapi 3.1 Win32 Feb 16 2010 on Fri Oct 15 17:34:19 2021
** DATE: Thu Dec 19 05:50:04 2013
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v5.15 Jan 24 2018
** CAMERA: Eyelink GL Version 1.2 Sensor=AA7
** SERIAL NUMBER: CLG-BAB23
** CAMERA_CONFIG: BAB23200.SCD
** RECORDED FROM OUTPUT MENU
** MENU: HAS_SAMPLES
** MENU: HAS_EVENTS
**

INPUT	1100155	127
MSG	1100904 RECCFG P 1000 2 1 R
MSG	1100904 ELCLCFG BTABLER
MSG	1100904 GAZE_COORDS 0.00 0.00 1599.00 1199.00
MSG	1100904 THRESHOLDS R 120 210
MSG	1100904 ELCL_WINDOW_SIZES 176 188 0 0
MSG	1100904 CAMERA_LENS_FOCAL_LENGTH 38.00 
MSG	1100904 PUPIL_DATA_TYPE RAW_AUTOSLIP
MSG	1100904 ELCL_PROC CENTROID (3)
MSG	1100904 ELCL_PCR_PARAM 5 3.0
START	1100905 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	RIGHT	RATE	1000.00	TRACKING	P	FILTER	2
SAMPLES	GAZE	RIGHT	RATE	1000.00	TRACKING	P	FILTER	2
INPUT	1100905	127
MSG	1100905 !MODE RECORD P 1000 2 1 R
1100905	  211.3	 1049.9	 4987.0	.
1100906	  211.3	 1050.0	 4988.0	.
1100907	  211.3	 1050.0	 4989.0	.
1100908	  211.3	 1049.8	 4989.0	.
1100909	  211.3	 1049.7	 4989.0	.
1100910	  211.3	 1049.6	 4988.0	.
1100911	  211.2	 1049.6	 4987.0	.
SFIX R   1100912
1100912	  211.1	 1049.5	 4987.0	.
1100913	  211.1	 1049.5	 4987.0	.
1100914	  211.1	 1049.6	 4987.0	.
1100915	  211.2	 1049.6	 4988.0	.
1100916	  211.2	 1049.7	 4988.0	.
1100917	  211.2	 1049.7	 4988.0	.
1100918	  211.2	 1049.7	 4988.0	.
1100919	  211.3	 1049.7	 4989.0	.
1100920	  211.3	 1049.6	 4989.0	.
1100921	  211.3	 1049.5	 4990.0	.
1100922	  211.3	 1049.4	 4990.0	.
1100923	  211.3	 1049.4	 4990.0	.
1100924	  211.3	 1049.3	 4989.0	.
1100925	  211.3	 1049.3	 4988.0	.
1100926	  211.3	 1049.1	 4988.0	.
1100927	  211.3	 1048.9	 4988.0	.
1100928	  211.2	 1048.8	 4989.0	.
1100929	  211.2	 1048.7	 4989.0	.
1100930	  211.1	 1048.7	 4988.0	.
1100931	  211.2	 1048.7	 4987.0	.
1100932	  211.3	 1048.6	 4985.0	.
1100933	  211.4	 1048.6	 4985.0	.
1100934	  211.4	 1048.5	 4984.0	.
1100935	  211.3	 1048.5	 4985.0	.
1100936	  211.3	 1048.5	 4987.0	.
1100937	  211.3	 1048.4	 4990.0	.
1100938	  211.3	 1048.3	 4992.0	.
