** CONVERTED FROM C:\Users\NTT\Desktop\exe\100_7mm.edf using edfapi 3.1 Win32 Feb 16 2010 on Fri Oct 15 17:34:19 2021
** DATE: Thu Dec 19 05:40:09 2013
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v5.15 Jan 24 2018
** CAMERA: Eyelink GL Version 1.2 Sensor=AA7
** SERIAL NUMBER: CLG-BAB23
** CAMERA_CONFIG: BAB23200.SCD
** RECORDED FROM OUTPUT MENU
** MENU: HAS_SAMPLES
** MENU: HAS_EVENTS
**

INPUT	506416	127
MSG	511846 RECCFG P 1000 2 1 R
MSG	511846 ELCLCFG BTABLER
MSG	511846 GAZE_COORDS 0.00 0.00 1599.00 1199.00
MSG	511846 THRESHOLDS R 100 210
MSG	511846 ELCL_WINDOW_SIZES 176 188 0 0
MSG	511846 CAMERA_LENS_FOCAL_LENGTH 38.00 
MSG	511846 PUPIL_DATA_TYPE RAW_AUTOSLIP
MSG	511846 ELCL_PROC CENTROID (3)
MSG	511846 ELCL_PCR_PARAM 5 3.0
START	511847 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	RIGHT	RATE	1000.00	TRACKING	P	FILTER	2
SAMPLES	GAZE	RIGHT	RATE	1000.00	TRACKING	P	FILTER	2
INPUT	511847	127
MSG	511847 !MODE RECORD P 1000 2 1 R
511847	 -281.7	 1503.6	 4840.0	.
511848	 -281.4	 1503.8	 4840.0	.
511849	 -281.1	 1504.0	 4840.0	.
511850	 -280.7	 1504.1	 4839.0	.
511851	 -280.5	 1504.2	 4839.0	.
511852	 -280.4	 1504.4	 4839.0	.
511853	 -280.1	 1504.6	 4839.0	.
SFIX R   511854
511854	 -279.9	 1504.7	 4839.0	.
511855	 -279.6	 1504.8	 4840.0	.
511856	 -279.4	 1504.9	 4840.0	.
511857	 -279.2	 1505.1	 4840.0	.
511858	 -279.0	 1505.2	 4841.0	.
511859	 -278.7	 1505.3	 4843.0	.
511860	 -278.5	 1505.5	 4844.0	.
511861	 -278.3	 1505.7	 4843.0	.
511862	 -278.1	 1505.8	 4843.0	.
511863	 -277.8	 1506.1	 4843.0	.
511864	 -277.5	 1506.3	 4844.0	.
511865	 -277.3	 1506.5	 4845.0	.
511866	 -277.1	 1506.6	 4846.0	.
511867	 -276.9	 1506.7	 4847.0	.
511868	 -276.7	 1506.9	 4848.0	.
511869	 -276.5	 1507.1	 4848.0	.
511870	 -276.3	 1507.3	 4846.0	.
511871	 -276.1	 1507.6	 4845.0	.
511872	 -275.9	 1507.8	 4845.0	.
511873	 -275.6	 1508.1	 4846.0	.
511874	 -275.4	 1508.3	 4846.0	.
511875	 -275.2	 1508.5	 4845.0	.
511876	 -275.0	 1508.8	 4843.0	.
511877	 -274.8	 1509.1	 4840.0	.
511878	 -274.6	 1509.4	 4839.0	.
511879	 -274.3	 1509.7	 4839.0	.
511880	 -274.1	 1509.9	 4839.0	.
