** CONVERTED FROM C:\Users\NTT\Desktop\exe\120_4mm.edf using edfapi 3.1 Win32 Feb 16 2010 on Fri Oct 15 17:34:19 2021
** DATE: Thu Dec 19 05:44:37 2013
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v5.15 Jan 24 2018
** CAMERA: Eyelink GL Version 1.2 Sensor=AA7
** SERIAL NUMBER: CLG-BAB23
** CAMERA_CONFIG: BAB23200.SCD
** RECORDED FROM OUTPUT MENU
** MENU: HAS_SAMPLES
** MENU: HAS_EVENTS
**

INPUT	758826	127
MSG	761310 RECCFG P 1000 2 1 R
MSG	761310 ELCLCFG BTABLER
MSG	761310 GAZE_COORDS 0.00 0.00 1599.00 1199.00
MSG	761310 THRESHOLDS R 120 210
MSG	761310 ELCL_WINDOW_SIZES 176 188 0 0
MSG	761310 CAMERA_LENS_FOCAL_LENGTH 38.00 
MSG	761310 PUPIL_DATA_TYPE RAW_AUTOSLIP
MSG	761310 ELCL_PROC CENTROID (3)
MSG	761310 ELCL_PCR_PARAM 5 3.0
START	761311 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	RIGHT	RATE	1000.00	TRACKING	P	FILTER	2
SAMPLES	GAZE	RIGHT	RATE	1000.00	TRACKING	P	FILTER	2
INPUT	761311	127
MSG	761311 !MODE RECORD P 1000 2 1 R
761311	  -39.0	 1468.6	 2922.0	.
761312	  -39.0	 1468.6	 2922.0	.
761313	  -39.0	 1468.7	 2922.0	.
761314	  -38.9	 1468.8	 2922.0	.
761315	  -38.9	 1468.9	 2922.0	.
761316	  -38.8	 1469.0	 2922.0	.
761317	  -38.8	 1469.1	 2922.0	.
SFIX R   761318
761318	  -38.8	 1469.1	 2922.0	.
761319	  -38.8	 1469.2	 2921.0	.
761320	  -38.7	 1469.2	 2921.0	.
761321	  -38.6	 1469.2	 2921.0	.
761322	  -38.5	 1469.3	 2922.0	.
761323	  -38.5	 1469.4	 2923.0	.
761324	  -38.4	 1469.6	 2925.0	.
761325	  -38.3	 1469.8	 2925.0	.
761326	  -38.2	 1469.9	 2924.0	.
761327	  -38.1	 1470.0	 2924.0	.
761328	  -38.0	 1470.1	 2924.0	.
761329	  -37.8	 1470.0	 2923.0	.
761330	  -37.6	 1470.1	 2922.0	.
761331	  -37.3	 1470.2	 2921.0	.
761332	  -37.1	 1470.4	 2921.0	.
761333	  -36.8	 1470.4	 2922.0	.
761334	  -36.5	 1470.5	 2923.0	.
761335	  -36.3	 1470.5	 2923.0	.
761336	  -35.9	 1470.7	 2923.0	.
761337	  -35.6	 1470.9	 2923.0	.
761338	  -35.3	 1471.1	 2923.0	.
761339	  -35.0	 1471.3	 2922.0	.
761340	  -34.6	 1471.5	 2921.0	.
761341	  -34.2	 1471.7	 2921.0	.
761342	  -33.9	 1471.9	 2921.0	.
761343	  -33.6	 1472.0	 2922.0	.
761344	  -33.2	 1472.2	 2922.0	.
