** CONVERTED FROM C:\Users\NTT\Desktop\exe\120_5mm.edf using edfapi 3.1 Win32 Feb 16 2010 on Fri Oct 15 17:34:19 2021
** DATE: Thu Dec 19 05:49:07 2013
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v5.15 Jan 24 2018
** CAMERA: Eyelink GL Version 1.2 Sensor=AA7
** SERIAL NUMBER: CLG-BAB23
** CAMERA_CONFIG: BAB23200.SCD
** RECORDED FROM OUTPUT MENU
** MENU: HAS_SAMPLES
** MENU: HAS_EVENTS
**

INPUT	1037545	127
MSG	1038398 RECCFG P 1000 2 1 R
MSG	1038398 ELCLCFG BTABLER
MSG	1038398 GAZE_COORDS 0.00 0.00 1599.00 1199.00
MSG	1038398 THRESHOLDS R 120 210
MSG	1038398 ELCL_WINDOW_SIZES 176 188 0 0
MSG	1038398 CAMERA_LENS_FOCAL_LENGTH 38.00 
MSG	1038398 PUPIL_DATA_TYPE RAW_AUTOSLIP
MSG	1038398 ELCL_PROC CENTROID (3)
MSG	1038398 ELCL_PCR_PARAM 5 3.0
START	1038399 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	RIGHT	RATE	1000.00	TRACKING	P	FILTER	2
SAMPLES	GAZE	RIGHT	RATE	1000.00	TRACKING	P	FILTER	2
INPUT	1038399	127
MSG	1038399 !MODE RECORD P 1000 2 1 R
1038500	  -11.6	 1326.7	 2919.0	.
1038501	  -11.6	 1326.6	 2918.0	.
1038502	  -11.6	 1326.6	 2918.0	.
1038503	  -11.6	 1326.5	 2918.0	.
1038504	  -11.6	 1326.4	 2918.0	.
1038505	  -11.5	 1326.4	 2917.0	.
1038506	  -11.4	 1326.3	 2916.0	.
1038507	  -11.4	 1326.1	 2915.0	.
1038508	  -11.4	 1326.0	 2915.0	.
1038509	  -11.4	 1325.8	 2916.0	.
1038510	  -11.5	 1325.7	 2917.0	.
1038511	  -11.5	 1325.5	 2918.0	.
1038512	  -11.5	 1325.4	 2918.0	.
1038513	  -11.5	 1325.2	 2919.0	.
1038514	  -11.4	 1325.0	 2920.0	.
1038515	  -11.5	 1324.9	 2920.0	.
1038516	  -11.5	 1324.7	 2920.0	.
1038517	  -11.5	 1324.6	 2919.0	.
1038518	  -11.5	 1324.5	 2917.0	.
1038519	  -11.4	 1324.3	 2916.0	.
1038520	  -11.3	 1324.1	 2915.0	.
1038521	  -11.3	 1323.8	 2915.0	.
1038522	  -11.2	 1323.6	 2915.0	.
1038523	  -11.2	 1323.6	 2915.0	.
1038524	  -11.2	 1323.5	 2915.0	.
1038525	  -11.2	 1323.4	 2914.0	.
1038526	  -11.1	 1323.2	 2913.0	.
1038527	  -11.1	 1323.1	 2912.0	.
1038528	  -11.0	 1323.0	 2912.0	.
1038529	  -11.0	 1322.9	 2912.0	.
1038530	  -11.0	 1322.8	 2912.0	.
1038531	  -11.0	 1322.7	 2913.0	.
1038532	  -10.9	 1322.6	 2914.0	.
1038533	  -10.8	 1322.4	 2914.0	.
1038534	  -10.7	 1322.2	 2915.0	.
1038535	  -10.6	 1322.2	 2916.0	.
1038536	  -10.4	 1322.3	 2917.0	.
1038537	  -10.3	 1322.2	 2918.0	.
1038538	  -10.2	 1322.2	 2918.0	.
1038539	  -10.2	 1322.1	 2916.0	.
1038540	  -10.1	 1322.1	 2914.0	.
1038541	   -9.9	 1322.1	 2913.0	.
1038542	   -9.8	 1322.0	 2913.0	.
1038543	   -9.6	 1322.0	 2913.0	.
1038544	   -9.6	 1322.1	 2913.0	.
1038545	   -9.5	 1322.1	 2914.0	.
1038546	   -9.4	 1322.1	 2915.0	.
1038547	   -9.3	 1322.0	 2915.0	.
1038548	   -9.2	 1322.1	 2915.0	.
1038549	   -9.1	 1322.2	 2914.0	.
1038550	   -9.0	 1322.3	 2913.0	.
1038551	   -8.9	 1322.3	 2913.0	.
1038552	   -8.8	 1322.3	 2913.0	.
1038553	   -8.7	 1322.3	 2913.0	.
1038554	   -8.5	 1322.4	 2913.0	.
1038555	   -8.3	 1322.5	 2913.0	.
1038556	   -8.3	 1322.6	 2913.0	.
1038557	   -8.2	 1322.6	 2914.0	.
1038558	   -8.2	 1322.7	 2914.0	.
1038559	   -8.1	 1322.8	 2913.0	.
1038560	   -8.1	 1323.0	 2912.0	.
1038561	   -8.2	 1323.1	 2912.0	.
1038562	   -8.1	 1323.1	 2912.0	.
1038563	   -8.1	 1323.2	 2913.0	.
1038564	   -8.0	 1323.2	 2914.0	.
1038565	   -7.9	 1323.3	 2914.0	.
1038566	   -7.8	 1323.4	 2915.0	.
1038567	   -7.8	 1323.4	 2915.0	.
1038568	   -7.7	 1323.4	 2916.0	.
1038569	   -7.7	 1323.5	 2916.0	.
1038570	   -7.6	 1323.5	 2916.0	.
1038571	   -7.5	 1323.5	 2916.0	.
1038572	   -7.5	 1323.5	 2915.0	.
1038573	   -7.5	 1323.5	 2915.0	.
1038574	   -7.4	 1323.5	 2915.0	.
1038575	   -7.4	 1323.5	 2916.0	.
1038576	   -7.4	 1323.5	 2915.0	.
1038577	   -7.5	 1323.4	 2915.0	.
1038578	   -7.5	 1323.4	 2915.0	.
1038579	   -7.6	 1323.4	 2915.0	.
1038580	   -7.6	 1323.3	 2915.0	.
1038581	   -7.7	 1323.2	 2915.0	.
1038582	   -7.7	 1323.0	 2916.0	.
1038583	   -7.7	 1323.0	 2916.0	.
1038584	   -7.7	 1323.0	 2915.0	.
1038585	   -7.8	 1323.0	 2915.0	.
1038586	   -7.8	 1323.0	 2914.0	.
