** CONVERTED FROM C:\Users\NTT\Desktop\exe\100_4mm.edf using edfapi 3.1 Win32 Feb 16 2010 on Fri Oct 15 17:34:18 2021
** DATE: Thu Dec 19 05:42:57 2013
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v5.15 Jan 24 2018
** CAMERA: Eyelink GL Version 1.2 Sensor=AA7
** SERIAL NUMBER: CLG-BAB23
** CAMERA_CONFIG: BAB23200.SCD
** RECORDED FROM OUTPUT MENU
** MENU: HAS_SAMPLES
** MENU: HAS_EVENTS
**

INPUT	665978	127
MSG	667490 RECCFG P 1000 2 1 R
MSG	667490 ELCLCFG BTABLER
MSG	667490 GAZE_COORDS 0.00 0.00 1599.00 1199.00
MSG	667490 THRESHOLDS R 100 210
MSG	667490 ELCL_WINDOW_SIZES 176 188 0 0
MSG	667490 CAMERA_LENS_FOCAL_LENGTH 38.00 
MSG	667490 PUPIL_DATA_TYPE RAW_AUTOSLIP
MSG	667490 ELCL_PROC CENTROID (3)
MSG	667490 ELCL_PCR_PARAM 5 3.0
START	667491 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	RIGHT	RATE	1000.00	TRACKING	P	FILTER	2
SAMPLES	GAZE	RIGHT	RATE	1000.00	TRACKING	P	FILTER	2
INPUT	667491	127
MSG	667491 !MODE RECORD P 1000 2 1 R
667491	  941.3	 1657.3	 2844.0	.
667492	  941.3	 1657.3	 2844.0	.
667493	  941.3	 1657.3	 2843.0	.
667494	  941.4	 1657.3	 2843.0	.
667495	  941.5	 1657.2	 2843.0	.
667496	  941.7	 1657.1	 2844.0	.
667497	  941.7	 1657.1	 2845.0	.
SFIX R   667498
667498	  941.8	 1657.0	 2845.0	.
667499	  941.9	 1657.0	 2845.0	.
667500	  942.0	 1657.0	 2845.0	.
667501	  942.1	 1657.0	 2845.0	.
667502	  942.2	 1656.9	 2845.0	.
667503	  942.3	 1656.9	 2845.0	.
667504	  942.4	 1656.8	 2845.0	.
667505	  942.4	 1656.8	 2845.0	.
667506	  942.4	 1656.8	 2844.0	.
667507	  942.5	 1656.7	 2844.0	.
667508	  942.7	 1656.7	 2844.0	.
667509	  942.9	 1656.6	 2844.0	.
667510	  943.0	 1656.5	 2844.0	.
667511	  943.2	 1656.4	 2844.0	.
667512	  943.4	 1656.3	 2844.0	.
667513	  943.5	 1656.2	 2845.0	.
667514	  943.5	 1656.1	 2846.0	.
667515	  943.7	 1656.1	 2847.0	.
667516	  943.8	 1656.0	 2847.0	.
667517	  943.9	 1655.9	 2847.0	.
667518	  944.0	 1655.7	 2847.0	.
667519	  944.1	 1655.6	 2847.0	.
667520	  944.4	 1655.5	 2847.0	.
667521	  944.6	 1655.4	 2847.0	.
667522	  944.8	 1655.3	 2847.0	.
667523	  944.9	 1655.3	 2847.0	.
667524	  944.9	 1655.2	 2847.0	.
667525	  944.9	 1655.1	 2847.0	.
667526	  945.0	 1655.0	 2846.0	.
