** CONVERTED FROM C:\Users\NTT\Desktop\exe\100_5mm.edf using edfapi 3.1 Win32 Feb 16 2010 on Fri Oct 15 17:34:19 2021
** DATE: Thu Dec 19 05:41:29 2013
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v5.15 Jan 24 2018
** CAMERA: Eyelink GL Version 1.2 Sensor=AA7
** SERIAL NUMBER: CLG-BAB23
** CAMERA_CONFIG: BAB23200.SCD
** RECORDED FROM OUTPUT MENU
** MENU: HAS_SAMPLES
** MENU: HAS_EVENTS
**

INPUT	577451	127
MSG	579298 RECCFG P 1000 2 1 R
MSG	579298 ELCLCFG BTABLER
MSG	579298 GAZE_COORDS 0.00 0.00 1599.00 1199.00
MSG	579298 THRESHOLDS R 100 210
MSG	579298 ELCL_WINDOW_SIZES 176 188 0 0
MSG	579298 CAMERA_LENS_FOCAL_LENGTH 38.00 
MSG	579298 PUPIL_DATA_TYPE RAW_AUTOSLIP
MSG	579298 ELCL_PROC CENTROID (3)
MSG	579298 ELCL_PCR_PARAM 5 3.0
START	579299 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	RIGHT	RATE	1000.00	TRACKING	P	FILTER	2
SAMPLES	GAZE	RIGHT	RATE	1000.00	TRACKING	P	FILTER	2
INPUT	579299	127
MSG	579299 !MODE RECORD P 1000 2 1 R
579299	  701.6	 1787.8	 2780.0	.
579300	  701.5	 1787.9	 2781.0	.
579301	  701.4	 1787.9	 2781.0	.
579302	  701.3	 1788.0	 2781.0	.
579303	  701.2	 1788.1	 2781.0	.
579304	  701.1	 1788.1	 2782.0	.
579305	  701.0	 1788.1	 2782.0	.
SFIX R   579306
579306	  701.0	 1788.2	 2783.0	.
579307	  701.0	 1788.2	 2783.0	.
579308	  700.9	 1788.3	 2784.0	.
579309	  700.9	 1788.3	 2782.0	.
579310	  700.8	 1788.4	 2781.0	.
579311	  700.8	 1788.5	 2781.0	.
579312	  700.7	 1788.5	 2782.0	.
579313	  700.6	 1788.5	 2783.0	.
579314	  700.4	 1788.6	 2783.0	.
579315	  700.4	 1788.6	 2783.0	.
579316	  700.3	 1788.7	 2782.0	.
579317	  700.3	 1788.8	 2782.0	.
579318	  700.2	 1788.8	 2782.0	.
579319	  700.2	 1788.8	 2781.0	.
579320	  700.2	 1788.8	 2781.0	.
579321	  700.2	 1788.8	 2782.0	.
579322	  700.2	 1788.9	 2782.0	.
579323	  700.1	 1788.9	 2783.0	.
579324	  700.1	 1788.9	 2783.0	.
579325	  700.2	 1788.9	 2784.0	.
579326	  700.1	 1789.0	 2785.0	.
579327	  700.1	 1789.0	 2784.0	.
579328	  699.9	 1789.0	 2782.0	.
579329	  699.8	 1789.0	 2781.0	.
579330	  699.6	 1789.0	 2781.0	.
579331	  699.6	 1789.0	 2782.0	.
579332	  699.6	 1789.0	 2782.0	.
579333	  699.6	 1789.0	 2782.0	.
579334	  699.5	 1789.0	 2782.0	.
