** CONVERTED FROM C:\Users\admin\Desktop\suzuki\exe\80_8mm.edf using edfapi 3.1 Win32 Feb 16 2010 on Wed Oct 07 16:34:53 2020
** DATE: Wed Oct  7 16:02:28 2020
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v5.15 Jan 24 2018
** CAMERA: Eyelink GL Version 1.2 Sensor=AA7
** SERIAL NUMBER: CLG-BAB23
** CAMERA_CONFIG: BAB23200.SCD
** RECORDED FROM OUTPUT MENU
** MENU: HAS_SAMPLES
** MENU: HAS_EVENTS
**

MSG	720693 RECCFG P 1000 2 1 R
MSG	720693 ELCLCFG BTABLER
MSG	720693 GAZE_COORDS 0.00 0.00 1599.00 1199.00
MSG	720693 THRESHOLDS R 80 242
MSG	720693 ELCL_WINDOW_SIZES 176 188 0 0
MSG	720693 CAMERA_LENS_FOCAL_LENGTH 38.00 
MSG	720693 PUPIL_DATA_TYPE RAW_AUTOSLIP
MSG	720693 ELCL_PROC CENTROID (3)
MSG	720693 ELCL_PCR_PARAM 5 3.0
START	720694 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	DIAMETER
EVENTS	GAZE	RIGHT	RATE	1000.00	TRACKING	P	FILTER	2
SAMPLES	GAZE	RIGHT	RATE	1000.00	TRACKING	P	FILTER	2
MSG	720694 !MODE RECORD P 1000 2 1 R
720694	-3270.0	-1632.2	 7766.0	.
INPUT	720694	127
720695	-3270.0	-1632.2	 7765.0	.
720696	-3270.0	-1632.2	 7764.0	.
720697	-3270.0	-1632.2	 7763.0	.
720698	-3270.0	-1632.2	 7764.0	.
720699	-3270.0	-1632.2	 7764.0	.
720700	-3270.0	-1632.2	 7763.0	.
SFIX R   720701
720701	-3270.0	-1632.2	 7764.0	.
720702	-3270.0	-1632.2	 7765.0	.
720703	-3270.0	-1632.2	 7766.0	.
720704	-3270.0	-1632.2	 7767.0	.
720705	-3270.0	-1632.2	 7767.0	.
720706	-3270.0	-1632.2	 7765.0	.
720707	-3270.0	-1632.2	 7763.0	.
720708	-3270.0	-1632.2	 7762.0	.
720709	-3270.0	-1632.2	 7762.0	.
720710	-3270.0	-1632.2	 7762.0	.
720711	-3270.0	-1632.2	 7763.0	.
720712	-3270.0	-1632.3	 7764.0	.
720713	-3270.0	-1632.3	 7764.0	.
720714	-3270.0	-1632.2	 7765.0	.
720715	-3270.0	-1632.2	 7766.0	.
720716	-3270.0	-1632.2	 7766.0	.
720717	-3270.0	-1632.2	 7765.0	.
720718	-3270.0	-1632.2	 7764.0	.
720719	-3270.0	-1632.2	 7764.0	.
720720	-3270.0	-1632.2	 7765.0	.
720721	-3270.0	-1632.2	 7765.0	.
720722	-3270.0	-1632.2	 7765.0	.
720723	-3270.0	-1632.2	 7766.0	.
720724	-3270.0	-1632.2	 7766.0	.
720725	-3270.0	-1632.2	 7767.0	.
720726	-3270.0	-1632.2	 7767.0	.
720727	-3270.0	-1632.2	 7767.0	.
