** CONVERTED FROM C:\Users\admin\Desktop\suzuki\exe\120_8mm.edf using edfapi 3.1 Win32 Feb 16 2010 on Wed Oct 07 16:34:53 2020
** DATE: Wed Oct  7 16:03:39 2020
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v5.15 Jan 24 2018
** CAMERA: Eyelink GL Version 1.2 Sensor=AA7
** SERIAL NUMBER: CLG-BAB23
** CAMERA_CONFIG: BAB23200.SCD
** RECORDED FROM OUTPUT MENU
** MENU: HAS_SAMPLES
** MENU: HAS_EVENTS
**

MSG	790733 RECCFG P 1000 2 1 R
MSG	790733 ELCLCFG BTABLER
MSG	790733 GAZE_COORDS 0.00 0.00 1599.00 1199.00
MSG	790733 THRESHOLDS R 120 242
MSG	790733 ELCL_WINDOW_SIZES 176 188 0 0
MSG	790733 CAMERA_LENS_FOCAL_LENGTH 38.00 
MSG	790733 PUPIL_DATA_TYPE RAW_AUTOSLIP
MSG	790733 ELCL_PROC CENTROID (3)
MSG	790733 ELCL_PCR_PARAM 5 3.0
START	790734 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	DIAMETER
EVENTS	GAZE	RIGHT	RATE	1000.00	TRACKING	P	FILTER	2
SAMPLES	GAZE	RIGHT	RATE	1000.00	TRACKING	P	FILTER	2
MSG	790734 !MODE RECORD P 1000 2 1 R
790734	-3270.0	-1633.4	 8054.0	.
INPUT	790734	127
790735	-3270.0	-1633.4	 8054.0	.
790736	-3270.0	-1633.4	 8054.0	.
790737	-3270.0	-1633.5	 8053.0	.
790738	-3270.0	-1633.5	 8052.0	.
790739	-3270.0	-1633.5	 8051.0	.
790740	-3270.0	-1633.5	 8050.0	.
SFIX R   790741
790741	-3270.0	-1633.5	 8050.0	.
790742	-3270.0	-1633.5	 8050.0	.
790743	-3270.0	-1633.5	 8050.0	.
790744	-3270.0	-1633.5	 8049.0	.
790745	-3270.0	-1633.5	 8049.0	.
790746	-3270.0	-1633.5	 8050.0	.
790747	-3270.0	-1633.5	 8050.0	.
790748	-3270.0	-1633.5	 8050.0	.
790749	-3270.0	-1633.5	 8052.0	.
790750	-3270.0	-1633.5	 8053.0	.
790751	-3270.0	-1633.5	 8054.0	.
790752	-3270.0	-1633.5	 8055.0	.
790753	-3270.0	-1633.5	 8053.0	.
790754	-3270.0	-1633.5	 8051.0	.
790755	-3270.0	-1633.5	 8049.0	.
790756	-3270.0	-1633.5	 8049.0	.
790757	-3270.0	-1633.5	 8049.0	.
790758	-3270.0	-1633.5	 8050.0	.
790759	-3270.0	-1633.5	 8050.0	.
790760	-3270.0	-1633.5	 8049.0	.
790761	-3270.0	-1633.6	 8049.0	.
790762	-3270.0	-1633.6	 8049.0	.
790763	-3270.0	-1633.6	 8049.0	.
790764	-3270.0	-1633.6	 8048.0	.
790765	-3270.0	-1633.5	 8048.0	.
790766	-3270.0	-1633.5	 8048.0	.
790767	-3270.0	-1633.5	 8050.0	.
