** CONVERTED FROM C:\Users\admin\Desktop\suzuki\exe\100_3mm.edf using edfapi 3.1 Win32 Feb 16 2010 on Wed Oct 07 16:34:53 2020
** DATE: Wed Oct  7 15:59:56 2020
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v5.15 Jan 24 2018
** CAMERA: Eyelink GL Version 1.2 Sensor=AA7
** SERIAL NUMBER: CLG-BAB23
** CAMERA_CONFIG: BAB23200.SCD
** RECORDED FROM OUTPUT MENU
** MENU: HAS_SAMPLES
** MENU: HAS_EVENTS
**

MSG	566910 RECCFG P 1000 2 1 R
MSG	566910 ELCLCFG BTABLER
MSG	566910 GAZE_COORDS 0.00 0.00 1599.00 1199.00
MSG	566910 THRESHOLDS R 100 242
MSG	566910 ELCL_WINDOW_SIZES 176 188 0 0
MSG	566910 CAMERA_LENS_FOCAL_LENGTH 38.00 
MSG	566910 PUPIL_DATA_TYPE RAW_AUTOSLIP
MSG	566910 ELCL_PROC CENTROID (3)
MSG	566910 ELCL_PCR_PARAM 5 3.0
START	566911 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	DIAMETER
EVENTS	GAZE	RIGHT	RATE	1000.00	TRACKING	P	FILTER	2
SAMPLES	GAZE	RIGHT	RATE	1000.00	TRACKING	P	FILTER	2
MSG	566911 !MODE RECORD P 1000 2 1 R
566911	-3270.0	 -782.5	 2611.0	.
INPUT	566911	127
566912	-3270.0	 -782.4	 2611.0	.
566913	-3270.0	 -782.4	 2612.0	.
566914	-3270.0	 -782.3	 2613.0	.
566915	-3270.0	 -782.3	 2617.0	.
566916	-3270.0	 -782.3	 2621.0	.
566917	-3270.0	 -782.3	 2623.0	.
SFIX R   566918
566918	-3270.0	 -782.3	 2623.0	.
566919	-3270.0	 -782.3	 2623.0	.
566920	-3270.0	 -782.4	 2623.0	.
566921	-3270.0	 -782.4	 2623.0	.
566922	-3270.0	 -782.4	 2623.0	.
566923	-3270.0	 -782.4	 2623.0	.
566924	-3270.0	 -782.4	 2622.0	.
566925	-3270.0	 -782.4	 2621.0	.
566926	-3270.0	 -782.4	 2621.0	.
566927	-3270.0	 -782.4	 2619.0	.
566928	-3270.0	 -782.4	 2617.0	.
566929	-3270.0	 -782.3	 2615.0	.
566930	-3270.0	 -782.3	 2615.0	.
566931	-3270.0	 -782.3	 2615.0	.
566932	-3270.0	 -782.4	 2615.0	.
566933	-3270.0	 -782.4	 2615.0	.
566934	-3270.0	 -782.4	 2615.0	.
566935	-3270.0	 -782.3	 2618.0	.
566936	-3270.0	 -782.3	 2621.0	.
566937	-3270.0	 -782.3	 2623.0	.
566938	-3270.0	 -782.3	 2626.0	.
566939	-3270.0	 -782.3	 2629.0	.
566940	-3270.0	 -782.3	 2623.0	.
566941	-3270.0	 -782.3	 2615.0	.
566942	-3270.0	 -782.3	 2611.0	.
566943	-3270.0	 -782.4	 2618.0	.
566944	-3270.0	 -782.4	 2625.0	.
