** CONVERTED FROM C:\Users\admin\Desktop\suzuki\exe\100_8mm.edf using edfapi 3.1 Win32 Feb 16 2010 on Wed Oct 07 16:34:52 2020
** DATE: Wed Oct  7 16:03:04 2020
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v5.15 Jan 24 2018
** CAMERA: Eyelink GL Version 1.2 Sensor=AA7
** SERIAL NUMBER: CLG-BAB23
** CAMERA_CONFIG: BAB23200.SCD
** RECORDED FROM OUTPUT MENU
** MENU: HAS_SAMPLES
** MENU: HAS_EVENTS
**

MSG	755933 RECCFG P 1000 2 1 R
MSG	755933 ELCLCFG BTABLER
MSG	755933 GAZE_COORDS 0.00 0.00 1599.00 1199.00
MSG	755933 THRESHOLDS R 100 242
MSG	755933 ELCL_WINDOW_SIZES 176 188 0 0
MSG	755933 CAMERA_LENS_FOCAL_LENGTH 38.00 
MSG	755933 PUPIL_DATA_TYPE RAW_AUTOSLIP
MSG	755933 ELCL_PROC CENTROID (3)
MSG	755933 ELCL_PCR_PARAM 5 3.0
START	755934 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	DIAMETER
EVENTS	GAZE	RIGHT	RATE	1000.00	TRACKING	P	FILTER	2
SAMPLES	GAZE	RIGHT	RATE	1000.00	TRACKING	P	FILTER	2
MSG	755934 !MODE RECORD P 1000 2 1 R
755934	-3270.0	-1632.9	 7925.0	.
INPUT	755934	127
755935	-3270.0	-1632.9	 7924.0	.
755936	-3270.0	-1632.9	 7924.0	.
755937	-3270.0	-1632.9	 7925.0	.
755938	-3270.0	-1632.9	 7925.0	.
755939	-3270.0	-1632.9	 7925.0	.
755940	-3270.0	-1632.9	 7925.0	.
SFIX R   755941
755941	-3270.0	-1632.9	 7925.0	.
755942	-3270.0	-1632.9	 7925.0	.
755943	-3270.0	-1632.9	 7924.0	.
755944	-3270.0	-1632.9	 7924.0	.
755945	-3270.0	-1632.9	 7925.0	.
755946	-3270.0	-1632.9	 7925.0	.
755947	-3270.0	-1632.9	 7926.0	.
755948	-3270.0	-1632.9	 7925.0	.
755949	-3270.0	-1632.9	 7925.0	.
755950	-3270.0	-1632.9	 7924.0	.
755951	-3270.0	-1632.9	 7924.0	.
755952	-3270.0	-1632.9	 7924.0	.
755953	-3270.0	-1632.9	 7924.0	.
755954	-3270.0	-1632.9	 7924.0	.
755955	-3270.0	-1632.8	 7923.0	.
755956	-3270.0	-1632.8	 7923.0	.
755957	-3270.0	-1632.8	 7922.0	.
755958	-3270.0	-1632.9	 7922.0	.
755959	-3270.0	-1633.0	 7922.0	.
755960	-3270.0	-1633.0	 7922.0	.
755961	-3270.0	-1633.0	 7922.0	.
755962	-3270.0	-1632.9	 7922.0	.
755963	-3270.0	-1632.9	 7922.0	.
755964	-3270.0	-1632.9	 7923.0	.
755965	-3270.0	-1632.9	 7923.0	.
755966	-3270.0	-1632.9	 7924.0	.
755967	-3270.0	-1632.9	 7924.0	.
